1||KeanTiong||Smartphone||sold||Galaxy S25 Ultra||Samsung||Galaxy S25 Ultra||2025||"Still Good Phone "||4000||30||KeanTiong_1746982297_main.jpg||KeanTiong_1746982297_0.jpg
2||KeanTiong||Laptop||pending|| VULCAN GX||Asus|| VULCAN GX||2024||"Secondhand laptop"||5000||20||KeanTiong_1746982470_main.jpg||
3||Tzenn||Smartphone||pending||Redmi K80 Pro Brand New||redmi||Redmi K80||2024||"This was the brand new Redmi K80 pro phone , which only use for few time and charges for few time only"||2000||30||Tzenn_1747032247_main.jpg||
4||Tzenn||Laptop||pending||1||1||1||1||"1"||1000||11||Tzenn_1747035126_main.jpg||
5||Tzenn||Audio||pending||2||2||2||2||"2"||124||0||Tzenn_1747035396_main.jpg||
6||Tzenn||Audio||pending||2||2||2||2||"2"||125||0||Tzenn_1747035396_main.jpg||
7||Tzenn||Audio||pending||2||2||2||2||"2"||126||0||Tzenn_1747035396_main.jpg||
8||Tzenn||Audio||pending||2||2||2||2||"2"||127||0||Tzenn_1747035396_main.jpg||
9||Tzenn||Audio||pending||2||2||2||2||"2"||128||0||Tzenn_1747035396_main.jpg||
10||Tzenn||Audio||pending||2||2||2||2||"2"||111||0||Tzenn_1747035396_main.jpg||
11||Tzenn||Audio||pending||2||2||2||2||"2"||112||0||Tzenn_1747035396_main.jpg||
12||Tzenn||Audio||pending||2||2||2||2||"2"||114||0||Tzenn_1747035396_main.jpg||
13||Tzenn||Audio||pending||2||2||2||2||"2"||189||0||Tzenn_1747035396_main.jpg||
14||Tzenn||Audio||pending||2||2||2||2||"2"||1129||0||Tzenn_1747035396_main.jpg||
15||Tzenn||Audio||pending||2||2||2||2||"2"||12656||0||Tzenn_1747035396_main.jpg||
16||Tzenn||Audio||pending||2||2||2||2||"2"||12656||0||Tzenn_1747035396_main.jpg||
17||Tzenn||Audio||pending||2||2||2||2||"2"||12232||0||Tzenn_1747035396_main.jpg||
18||Tzenn||Camera||sold||camera 1||iphone||iphone 1||2022||"camera"||123456789||0||Tzenn_1747039506_main.jpg||Tzenn_1747039506_0.jpg||Tzenn_1747039506_1.jpg
19||Tzenn||Tablet||pending||tablet||tablet||1||1||"1111"||123||112||Tzenn_1747039642_main.jpg||Tzenn_1747039642_0.jpg
20||KeanTiong||Smartphone||pending||a||a||a||2||"q"||1||0||KeanTiong_1747151291_main.jpg||
21||KeanTiong||Laptop||pending||1||1||1||1||"1"||1||1||KeanTiong_1747151400_main.jpg||
22||KeanTiong||Smartphone||pending||1||1||1||1||"1"||1||0||KeanTiong_1747151767_main.jpg||
23||KeanTiong||Audio||pending||1||1||1||1||"1"||1||11||KeanTiong_1747151810_main.jpg||KeanTiong_1747151810_0.jpg
24||Tzenn||Camera||sold||1||1||1||1||"1"||111||111||Tzenn_1747153062_main.jpg||
25||KeanTiong||Smartphone||approved||s||s||s||2023||"s"||300||10||KeanTiong_1749618969_main.jpg||
26||KeanTiong||Camera||pending||Cam Pro||Apple||CP01||2025||"Best"||400||20||KeanTiong_1749979531_main.jpg||
